[2024-11-10 01:33:43] Starting processing of /home/ubuntu/quantumLeap/data/input/Step_2_Classic_Texts_and_Ethnographies/2.1_Public_Domain_Books/Project_Gutenberg/psychology_of_unconscious.txt
[2024-11-10 01:33:43] Input text: 845582 chars, 199657 tokens
[2024-11-10 01:33:43] Starting text processing
[2024-11-10 01:33:43] 
Processing chunk 1
[2024-11-10 01:33:43] Starting get_complete_paragraphs with 845582 chars of text
[2024-11-10 01:33:43] Found 2956 sections
[2024-11-10 01:33:43] Processing section 1: SectionType.HEADER, 20 tokens
[2024-11-10 01:33:43] Processing section 2: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 4: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 6: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 8: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 10: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 12: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 14: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 16: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 17: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 19: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 20: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 22: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 24: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 25: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 27: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 29: SectionType.HEADER, 9 tokens
[2024-11-10 01:33:43] Processing section 31: SectionType.HEADER, 15 tokens
[2024-11-10 01:33:43] Processing section 32: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 34: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 35: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 37: SectionType.HEADER, 10 tokens
[2024-11-10 01:33:43] Processing section 38: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 40: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 42: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 43: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 44: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 46: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 48: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 50: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 52: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 54: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 56: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 58: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 60: SectionType.HEADER, 13 tokens
[2024-11-10 01:33:43] Processing section 62: SectionType.HEADER, 14 tokens
[2024-11-10 01:33:43] Processing section 64: SectionType.HEADER, 11 tokens
[2024-11-10 01:33:43] Processing section 66: SectionType.HEADER, 12 tokens
[2024-11-10 01:33:43] Processing section 68: SectionType.HEADER, 11 tokens
